Date,Time,Player 1,Player 2
20230129,16:45,Tsitsipas S.,Djokovic N.
20230127,16:45,Djokovic N.,Paul T.
20230127,11:45,Khachanov K.,Tsitsipas S.
20230125,16:45,Rublev A.,Djokovic N.
20230125,12:25,Shelton B.,Paul T.
20230124,18:15,Tsitsipas S.,Lehecka J.
20230124,11:55,Khachanov K.,Korda S.
20230123,16:35,De Minaur A.,Djokovic N.
20230123,14:55,Bautista-Agut R.,Paul T.
20230123,12:10,Rublev A.,Rune H.
20230123,12:10,Shelton B.,Wolf J.J.
20230122,16:15,Tsitsipas S.,Sinner J.
20230122,12:40,Lehecka J.,Auger-Aliassime F.
20230122,11:40,Nishioka Y.,Khachanov K.
20230122,11:35,Hurkacz H.,Korda S.
20230121,16:15,Dimitrov G.,Djokovic N.
20230121,16:10,Murray A.,Bautista-Agut R.
20230121,16:10,Popyrin A.,Shelton B.
20230121,12:55,Wolf J.J.,Mmoh M.
20230121,12:30,Paul T.,Brooksby J.
20230121,11:50,Bonzi B.,De Minaur A.
20230121,10:40,Humbert U.,Rune H.
20230121,09:35,Rublev A.,Evans D.
20230120,18:20,Korda S.,Medvedev D.
20230120,16:15,Khachanov K.,Tiafoe F.
20230120,16:10,Hurkacz H.,Shapovalov D.
20230120,13:35,Norrie C.,Lehecka J.
20230120,12:10,Cerundolo F.,Auger-Aliassime F.
20230120,11:40,McDonald M.,Nishioka Y.
20230120,10:00,Tsitsipas S.,Griekspoor T.
20230120,08:10,Fucsovics M.,Sinner J.
20230119,19:20,Murray A.,Kokkinakis T.
20230119,17:00,Couacaud E.,Djokovic N.
20230119,16:45,Mannarino A.,De Minaur A.
20230119,15:40,Carreno-Busta P.,Bonzi B.
20230119,15:30,Holt B.,Bautista-Agut R.
20230119,15:10,Cressy M.,Rune H.
20230119,14:40,Dimitrov G.,Djere L.
20230119,12:55,Mmoh M.,Zverev A.
20230119,12:15,Fritz T.,Popyrin A.
20230119,12:15,Kudla D.,Humbert U.
20230119,10:25,Schwartzman D.,Wolf J.J.
20230119,10:15,Shelton B.,Jarry N.
20230119,10:10,Rublev A.,Ruusuvuori E.
20230119,10:05,Brooksby J.,Ruud C.
20230119,08:10,Davidovich Fokina A.,Paul T.
20230119,08:05,Chardy J.,Evans D.
20230118,19:15,Norrie C.,Lestienne C.
20230118,18:55,Eubanks C.,Lehecka J.
20230118,18:55,Griekspoor T.,Van De Zandschulp B.
20230118,18:30,Korda S.,Watanuki Y.
20230118,18:20,Tsitsipas S.,Hijikata R.
20230118,18:15,Hurkacz H.,Sonego L.
20230118,18:00,Daniel T.,Shapovalov D.
20240118,17:40,Kokkinakis T.,Fognini F.
20240118,17:30,Cerundolo F.,Moutet C.
20240118,17:15,Cressy M.,Ramos A.
20240118,17:10,Couacaud E.,Dellien H.
20240118,17:05,Svrcina D.,Nishioka Y.
20240118,16:35,Millman J.,Medvedev D.
20240118,16:15,Sousa J.,Bautista-Agut R.
20240118,16:15,Vukic A.,Holt B.
20240118,16:10,Isner J.,Mannarino A.
20240118,15:05,Harris L.,Fucsovics M.
20240118,15:05,Khachanov K.,Kubler J.
20240118,12:40,Shang J.,Tiafoe F.
20240118,12:00,Nadal R.,McDonald M.
20240118,11:05,Molcan A.,Auger-Aliassime F.
20240118,10:00,Mmoh M.,Lokoli L.
20240118,09:30,Gasquet R.,Humbert U.
20240118,09:30,Kudla D.,Safiullin R.
20240118,09:30,Purcell M.,Ruusuvuori E.
20240118,08:10,Etcheverry T. M.,Sinner J.
20240117,19:40,Carballes Baena R.,Djokovic N.
20240117,19:00,Machac T.,Ruud C.
20240117,18:35,Tseng C. H.,Popyrin A.
20240117,16:15,Hsu Y. H.,De Minaur A.
20240117,14:55,O'Connell C.,Brooksby J.
20240117,14:30,Struff J-L.,Paul T.
20240117,12:35,Varillas J. P.,Zverev A.
20240117,11:15,Berrettini M.,Murray A.
20240117,11:10,Shelton B.,Zhang Z.
20240117,11:05,Krajinovic F.,Rune H.
20240117,10:50,Fritz T.,Basilashvili N.
20240117,10:10,Wolf J.J.,Thompson J.
20240117,09:35,Carreno-Busta P.,Cachin P.
20240117,09:25,Davidovich Fokina A.,Bublik A.
20240117,09:25,Jarry N.,Kecmanovic M.
20240117,08:15,Bellucci M.,Bonzi B.
20240117,08:15,Bergs Z.,Djere L.
20240117,08:15,Dimitrov G.,Karatsev A.
20240117,08:15,Schwartzman D.,Krutykh O.
20240117,08:10,Bagnis F.,Evans D.
20240117,08:10,Galan D. E.,Chardy J.
20240117,08:10,Rublev A.,Thiem D.
20240116,19:05,Giron M.,Medvedev D.
20240116,16:45,Musetti L.,Harris L.
20240116,16:40,Monteiro T.,Lestienne C.
20240116,16:10,Tsitsipas S.,Halys Q.
20240116,15:30,Pospisil V.,Auger-Aliassime F.
20240116,15:20,Norrie C.,van Assche L.
20240116,14:50,Hanfmann Y.,Hijikata R.
20240116,14:10,Molcan A.,Wawrinka S.
20240116,13:45,Coria F.,Fucsovics M.
20240116,13:30,Eubanks C.,Kwon S.
20240116,13:10,Millman J.,Huesler M.
20240116,13:00,Munar J.,Svrcina D.
20240116,12:45,Baez S.,Kubler J.
20240116,12:40,Lehecka J.,Coric B.
20240116,12:40,Sonego L.,Borges N.
20240116,12:10,Escobedo E.,Daniel T.
20240116,11:50,Nadal R.,Draper J.
20240116,11:35,Altmaier D.,Tiafoe F.
20240116,11:25,Khachanov K.,Zapata Miralles B.
20240116,10:25,Nakashima B.,McDonald M.
20240116,10:10,Griekspoor T.,Kotov P.
20240116,09:55,Lajovic D.,Shapovalov D.
20240116,09:50,Ymer M.,Nishioka Y.
20240116,09:45,Korda S.,Garin C.
20240116,09:35,Hurkacz H.,Martinez P.
20240116,08:10,Cerundolo F.,Pella G.
20240116,08:10,Edmund K.,Sinner J.
20240116,08:10,Etcheverry T. M.,Barrere G.
20240116,08:10,Ivashka I.,Van De Zandschulp B.
20240116,08:10,Moutet C.,Wu Y.
20240116,08:10,Otte O.,Shang J.
20240116,08:10,Watanuki Y.,Rinderknech A.
