Stage,Date,Time,Player 1,Player 2,Player 1 Sets,Player 2 Sets
FINAL,20230716,21:10,Alcaraz C.,Djokovic N.,3,2
SEMI-FINALS,20230714,23:55,Alcaraz C.,Medvedev D.,3,0
SEMI-FINALS,20230714,20:40,Sinner J.,Djokovic N.,0,3
QUARTER-FINALS,20230712,23:10,Alcaraz C.,Rune H.,3,0
QUARTER-FINALS,20230712,22:00,Medvedev D.,Eubanks C.,3,2
QUARTER-FINALS,20230712,00:00,Rublev A.,Djokovic N.,1,3
QUARTER-FINALS,20230711,22:50,Sinner J.,Safiullin R.,3,1
1/8-FINALS,20230711,00:50,Alcaraz C.,Berrettini M.,3,1
1/8-FINALS,20230711,00:00,Dimitrov G.,Rune H.,1,3
1/8-FINALS,20230710,21:40,Hurkacz H.,Djokovic N.,1,3
1/8-FINALS,20230710,20:25,Eubanks C.,Tsitsipas S.,3,2
1/8-FINALS,20230710,20:10,Medvedev D.,Lehecka J.,2,0
1/8-FINALS,20230709,21:50,Sinner J.,Galan D. E.,3,0
1/8-FINALS,20230709,21:20,Safiullin R.,Shapovalov D.,3,1
1/8-FINALS,20230709,20:40,Rublev A.,Bublik A.,3,2
1/16-FINALS,20230709,20:40,Tiafoe F.,Dimitrov G.,0,3
1/16-FINALS,20230709,01:25,Zverev A.,Berrettini M.,0,3
1/16-FINALS,20230708,22:35,Djere L.,Tsitsipas S.,0,3
1/16-FINALS,20230708,21:55,Davidovich Fokina A.,Rune H.,2,3
1/16-FINALS,20230708,20:40,Alcaraz C.,Jarry N.,3,1
1/16-FINALS,20230708,20:10,Medvedev D.,Fucsovics M.,3,1
1/16-FINALS,20230708,19:25,Eubanks C.,O'Connell C.,3,0
1/16-FINALS,20230708,18:10,Lehecka J.,Paul T.,3,2
1/16-FINALS,20230708,03:40,Wawrinka S.,Djokovic N.,0,3
1/16-FINALS,20230707,23:45,Rublev A.,Goffin D.,3,1
1/16-FINALS,20230707,23:40,Pella G.,Safiullin R.,0,3
1/32-FINALS,20230707,23:30,Murray A.,Tsitsipas S.,2,3
1/16-FINALS,20230707,23:20,Shapovalov D.,Broady L.,3,1
1/16-FINALS,20230707,22:40,Galan D. E.,Ymer M.,3,2
1/32-FINALS,20230707,22:35,Norrie C.,Eubanks C.,1,3
1/16-FINALS,20230707,21:45,Bublik A.,Marterer M.,3,0
1/32-FINALS,20230707,21:05,Kubler J.,Jarry N.,1,3
1/16-FINALS,20230707,21:05,Sinner J.,Halys Q.,3,1
1/32-FINALS,20230707,20:35,Alcaraz C.,Muller A.,3,0
1/32-FINALS,20230707,20:30,Zverev A.,Watanuki Y.,3,1
1/32-FINALS,20230707,20:25,Davidovich Fokina A.,Van De Zandschulp B.,3,1
1/16-FINALS,20230707,19:45,Medvedev D.,Mannarino A.,3,0
1/16-FINALS,20230707,19:45,Musetti L.,Hurkacz H.,0,3
