Date,Time,Player 1,Player 2,Player 1 Sets,Player 2 Sets
20230707,19:40,Giron M.,Fucsovics M.,1,3
20230707,19:15,Berrettini M.,De Minaur A.,3,0
20230707,18:05,Carballes Baena R.,Rune H.,0,3
20230707,18:05,O'Connell C.,Vesely J.,3,0
20230707,01:05,Ivashka I.,Dimitrov G.,0,3
20230707,00:15,Shelton B.,Djere L.,1,3
20230707,00:00,Tiafoe F.,Stricker D.,3,0
20230706,23:15,Ymer M.,Fritz T.,3,2
20230706,22:40,Pella G.,Mayot H.,3,1
20230706,22:35,Cerundolo F.,Lehecka J.,0,3
20230706,22:25,Barrios Vera T.,Goffin D.,1,3
20230706,22:05,Moutet C.,Safiullin R.,0,3
20230706,22:05,Raonic M.,Paul T.,1,3
20230706,21:55,Galan D. E.,Otte O.,3,1
20230706,21:20,Berrettini M.,Sonego L.,3,1
20230706,21:00,Cecchinato M.,Jarry N.,1,3
20230706,20:45,Kubler J.,Humbert U.,3,2
20230706,20:40,Broady L.,Ruud C.,3,2
20230706,20:30,Coppejans K.,De Minaur A.,1,3
20230706,20:15,O'Connell C.,Medjedovic H.,3,1
20230706,20:10,Huesler M.,Watanuki Y.,2,3
20230706,20:10,Zverev A.,Brouwer G.,3,0
20230706,19:50,Rublev A.,Karatsev A.,3,1
20230706,19:45,Shapovalov D.,Barrere G.,3,0
20230706,19:40,Arnaldi M.,Carballes Baena R.,1,3
20230706,18:15,Bublik A.,Wolf J.J.,3,0
20230706,18:15,Marterer M.,Mmoh M.,3,0
20230706,18:10,Choinski J.,Hurkacz H.,0,3
20230706,18:10,Etcheverry T. M.,Wawrinka S.,1,3
20230706,18:10,Musetti L.,Munar J.,3,0
20230706,18:10,Vukic A.,Halys Q.,0,3
20230706,18:10,Zhang Z.,Van De Zandschulp B.,2,3
20230706,18:05,Davidovich Fokina A.,Fils A.,3,0
20230706,02:10,Fucsovics M.,Griekspoor T.,3,0
20230706,01:55,Cressy M.,Djere L.,1,3
20230706,01:45,Sinner J.,Schwartzman D.,3,0
20230706,01:15,Mannarino A.,Shevchenko A.,3,0
20230706,01:00,Shelton B.,Daniel T.,3,2
20230706,00:45,Ivashka I.,Coria F.,3,1
20230706,00:40,Giron M.,Dellien H.,3,0
20230706,00:30,Eubanks C.,Monteiro T.,3,1
20230706,00:20,Loffhagen G.,Rune H.,0,3
20230706,00:20,Vesely J.,Korda S.,3,1
20230706,00:10,Thompson J.,Djokovic N.,0,3
20230705,23:55,Thiem D.,Tsitsipas S.,2,3
20230705,23:50,Shapovalov D.,Albot R.,3,1
20230705,23:25,Hanfmann Y.,Fritz T.,2,3
20230705,23:20,Mochizuki S.,Paul T.,0,3
20230705,23:10,Bonzi B.,Mayot H.,0,3
20230705,23:00,Safiullin R.,Bautista-Agut R.,3,2
20230705,22:45,Muller A.,Rinderknech A.,3,1
20230705,22:30,Coric B.,Pella G.,2,3
20230705,20:40,Medvedev D.,Fery A.,3,0
20230705,19:40,Harris L.,Barrere G.,1,3
20230705,19:40,Shimabukuro S.,Dimitrov G.,0,3
20230705,19:40,Tiafoe F.,Wu Y.,3,0
20230705,19:35,Cerundolo F.,Borges N.,3,1
20230705,19:35,Lehecka J.,Ofner S.,3,0
20230705,19:35,Raonic M.,Novak D.,3,1
20230705,19:35,Stricker D.,Popyrin A.,3,2
20230705,03:05,Etcheverry T. M.,Zapata Miralles B.,3,2
20230705,02:35,Halys Q.,Evans D.,3,1
20230705,00:10,Norrie C.,Machac T.,3,1
20230704,22:50,Peniston R.,Murray A.,0,3
20230704,20:10,Alcaraz C.,Chardy J.,3,0
20230704,02:45,Sinner J.,Cerundolo J. M.,3,0
20230704,01:30,Nishioka Y.,Galan D. E.,0,3
20230704,01:25,Ruusuvuori E.,Wawrinka S.,0,3
20230704,01:15,Kecmanovic M.,Schwartzman D.,0,3
20230704,01:00,Vukic A.,Altmaier D.,3,1
20230704,00:55,Bublik A.,McDonald M.,3,1
20230704,00:30,Koepfer D.,Otte O.,0,3
20230704,00:20,Ymer M.,Molcan A.,3,0
20230704,00:05,Choinski J.,Lajovic D.,3,1
20230703,22:20,Lokoli L.,Ruud C.,1,3
20230703,21:10,Isner J.,Munar J.,1,3
20230703,21:10,Wolf J.J.,Couacaud E.,3,0
20230703,21:05,Broady L.,Lestienne C.,3,0
20230703,20:55,Goffin D.,Marozsan F.,3,1
20230703,20:55,Moutet C.,Gasquet R.,3,0
20230703,20:50,Mmoh M.,Auger-Aliassime F.,3,1
20230703,20:40,Cachin P.,Djokovic N.,0,3
20230703,20:15,Ramos A.,Hurkacz H.,0,3
20230703,19:50,Marterer M.,Gojo B.,3,1
20230703,18:15,Rublev A.,Purcell M.,3,0
20230703,18:10,Baez S.,Barrios Vera T.,1,3
20230703,18:10,Musetti L.,Varillas J. P.,3,0
20230703,18:10,Thompson J.,Nakashima B.,3,2
20230703,18:10,van Assche L.,Karatsev A.,1,3
